200,0,0,0,<5,0,0,0,0,0,0,0,9,9,<5,0,0,0,0,0,0,0,0,0,0,0,0,13
800,<5,<5,180,8,23,0,9,0,262,144,128,308,29,275,10,29,<5,501,20,<5,<5,<5,0,0,0,21,9
801,0,0,10,0,0,0,<5,0,22,<5,<5,11,0,11,<5,0,0,30,<5,0,0,0,0,0,0,<5,0
803,0,0,5,0,0,0,0,0,0,<5,<5,0,0,0,0,<5,0,7,0,0,0,0,0,0,0,0,0
804,0,0,<5,0,0,0,0,0,<5,<5,<5,<5,0,<5,0,0,0,9,0,0,0,0,0,0,0,0,0
810,29,79,1912,59,427,13,159,<5,835,1759,1481,1556,193,995,81,315,5,3449,211,8,<5,12,0,6,<5,142,110
811,0,0,5,0,<5,0,0,0,0,<5,<5,5,<5,<5,0,0,0,5,<5,0,0,0,0,0,0,0,0
812,32,92,1026,17,366,15,122,<5,511,1262,1095,1052,117,596,78,286,<5,2104,86,<5,5,12,0,<5,<5,91,64
813,0,<5,0,0,0,0,0,0,<5,<5,<5,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
814,0,<5,<5,0,<5,0,<5,0,0,<5,<5,<5,<5,<5,0,<5,0,<5,0,0,0,0,0,0,0,0,0
815,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,<5,0,0,0,0,0,0,0,0,<5
820,9,27,721,15,138,<5,45,0,386,601,509,600,54,442,31,101,<5,1337,123,10,0,6,0,<5,0,49,35
821,0,0,<5,<5,<5,0,0,0,<5,<5,<5,5,<5,<5,<5,0,0,5,0,0,0,0,0,0,0,0,<5
822,62,746,651,5,368,9,268,<5,1586,3374,3054,5564,43,3665,919,572,<5,3619,27,<5,0,17,0,<5,0,583,7
828,<5,6,54,<5,18,0,11,0,123,91,83,189,7,167,15,24,0,229,10,0,0,0,0,0,<5,14,0
829,0,<5,13,0,<5,0,<5,0,7,10,9,14,<5,10,0,<5,0,23,<5,0,0,0,0,0,0,<5,0
830,22,119,706,14,333,25,143,0,648,1538,1384,1252,86,779,91,447,<5,2158,38,<5,0,8,0,0,<5,131,31
831,0,0,<5,0,<5,0,0,0,<5,8,6,11,0,9,0,<5,0,7,<5,0,0,0,0,0,0,<5,<5
832,8,18,295,6,165,13,33,0,108,809,688,457,49,201,20,142,<5,644,26,<5,<5,<5,0,<5,0,35,24
834,0,<5,79,<5,25,0,8,0,30,62,55,52,6,28,<5,11,0,135,10,0,0,0,0,0,0,<5,<5
835,<5,7,205,<5,66,<5,19,0,70,107,81,98,9,58,<5,22,0,335,38,<5,0,0,0,<5,0,6,<5
836,5,12,327,<5,120,8,41,0,167,348,290,321,22,206,12,61,<5,653,33,<5,<5,6,0,0,<5,24,13
837,0,<5,48,<5,15,0,6,0,25,32,30,36,<5,32,0,8,0,100,7,<5,0,<5,0,0,0,<5,0
838,0,<5,44,<5,17,0,10,0,32,50,42,44,<5,38,0,9,0,101,5,0,0,0,0,0,0,<5,<5
839,0,<5,21,0,8,<5,<5,0,9,29,27,26,<5,17,<5,11,0,46,<5,<5,0,0,0,0,0,0,<5
840,<5,0,78,0,20,0,18,0,35,15,16,37,5,38,<5,<5,0,150,0,0,0,<5,0,0,<5,<5,0
841,0,<5,62,0,11,0,5,0,30,49,42,39,5,33,<5,13,0,121,<5,<5,0,0,0,0,0,<5,<5
845,<5,13,61,<5,8,0,5,0,48,66,59,78,<5,59,5,30,0,155,9,0,0,<5,0,0,0,7,0
846,<5,6,58,0,10,0,7,0,22,29,26,35,<5,28,0,15,0,107,0,<5,0,0,0,0,0,7,0
847,0,5,30,0,7,0,<5,0,17,34,31,61,<5,39,6,6,0,63,5,<5,0,0,0,0,0,8,0
850,16,59,411,<5,113,<5,58,0,496,658,577,705,32,447,82,156,<5,1199,22,<5,0,5,0,<5,0,65,<5
851,<5,<5,12,0,<5,0,<5,0,9,18,12,14,<5,8,0,<5,0,19,6,0,0,0,0,0,0,<5,<5
852,15,359,216,0,105,5,78,0,474,1149,1028,1922,<5,1134,365,204,0,1146,5,<5,0,<5,0,<5,0,197,<5
853,0,0,0,0,8,<5,<5,0,0,50,44,9,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
854,5,24,68,<5,18,0,7,0,62,172,145,303,<5,204,44,31,0,205,<5,0,0,<5,0,<5,0,43,0
860,9,33,134,0,66,<5,39,<5,249,348,324,534,<5,339,78,100,0,548,<5,<5,0,<5,0,<5,0,51,<5
861,0,0,<5,0,<5,0,<5,0,5,10,7,11,0,8,<5,<5,0,14,<5,0,0,0,0,0,0,<5,<5
862,<5,39,31,0,12,<5,8,0,50,138,127,255,0,184,42,31,0,151,0,0,0,<5,0,<5,0,31,0
870,48,117,1003,15,280,9,140,<5,1069,1692,1462,1682,105,1094,137,418,0,2866,88,12,0,5,0,<5,<5,163,35
871,<5,6,34,<5,11,<5,7,0,20,51,39,38,<5,21,<5,11,0,79,5,0,<5,0,0,0,0,6,<5
872,63,351,547,0,235,<5,174,<5,1129,2317,2140,4432,40,3062,711,457,0,2756,<5,<5,0,15,0,<5,0,545,6
873,5,<5,15,0,7,0,6,0,35,43,37,100,<5,80,6,8,0,77,0,<5,0,0,0,0,0,15,<5
874,0,0,<5,0,0,0,0,0,0,<5,<5,5,<5,5,<5,0,0,<5,<5,0,0,0,0,0,0,0,0
875,<5,9,11,0,10,<5,5,0,27,73,64,62,<5,46,5,28,0,79,6,0,0,0,0,0,0,7,<5
880,17,70,99,<5,73,<5,47,0,243,598,532,925,10,590,117,87,0,584,0,<5,0,<5,0,0,0,79,<5
881,0,<5,<5,0,<5,<5,<5,0,<5,11,11,9,0,5,0,<5,0,10,0,0,0,0,0,0,0,0,0
885,0,5,0,0,<5,0,<5,0,7,20,17,11,0,5,<5,<5,0,11,0,0,0,0,0,0,0,<5,0
886,0,25,16,0,15,<5,6,0,34,91,80,129,<5,84,16,10,0,77,0,0,0,0,0,0,0,11,<5
909,0,0,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,<5
1022,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1026,0,0,<5,<5,0,0,0,0,<5,<5,<5,<5,<5,<5,0,0,0,<5,<5,0,0,0,0,0,0,0,<5
1027,0,0,0,<5,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,0,<5,0,0,0,0,0,0,0,0
1028,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1029,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1034,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1117,0,0,0,<5,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5
1121,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,0,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,0,0,0,0,0,0,0,0,0,<5,<5,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,0,0,0,0,0,0,0,0,0,<5,<5,<5,<5,0,0,<5,0,<5,0,0,0,0,0,0,0,0,<5
1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,0,0,0,0,<5,0,<5,0,0,<5,<5,0,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,0,0,0,0,<5,0,<5,0,<5,<5,<5,<5,<5,0,0,<5,0,<5,0,0,0,0,0,0,0,0,<5
1173,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,0,0,0,<5,<5,0,<5,0,0,<5,<5,<5,<5,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1177,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1190,0,0,0,0,<5,0,<5,0,0,<5,<5,<5,<5,0,<5,0,0,<5,0,0,0,0,0,0,0,0,<5
1205,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0
1207,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1230,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1235,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
